input_file,DIMENSIONS,SEED,SAMPLING_TIME,PARAM_SET,FITNESS,SOLUTION,ELAPSED_TIME
output_linear.csv,4,1,2,0,0.213768,"31771.359375 30999.070312 9.936771 9.960065",1.199612 seconds
output_linear.csv,4,2,2,0,0.198632,"28896.279297 28397.394531 9.938774 9.400758",1.061257 seconds
output_linear.csv,4,3,2,0,0.216580,"32584.988281 32069.976562 9.947259 9.969061",1.105540 seconds
output_linear.csv,4,4,2,0,0.203377,"29714.492188 29114.292969 9.970278 9.779316",1.193452 seconds
output_linear.csv,4,5,2,0,0.217457,"32895.210938 32167.699219 9.939958 9.973134",1.188628 seconds
output_linear.csv,4,6,2,0,0.201181,"28807.199219 28443.035156 9.977297 9.323227",1.172166 seconds
output_linear.csv,4,7,2,0,0.216603,"31796.636719 30959.103516 9.984406 9.953440",1.170823 seconds
output_linear.csv,4,8,2,0,0.214039,"31986.511719 31204.234375 9.943724 9.882046",1.254817 seconds
output_linear.csv,4,9,2,0,0.220515,"33403.777344 32851.851562 9.995191 9.985856",1.240691 seconds
output_linear.csv,4,10,2,0,0.226677,"31825.585938 31453.982422 9.997578 9.989265",1.269327 seconds
output_linear.csv,6,1,2,0,0.364106,"39285.253906 38786.164062 8.612894 9.983913 0.001421 0.001033",1.590292 seconds
output_linear.csv,6,2,2,0,0.335237,"39798.937500 39604.093750 6.621121 6.357292 -0.001989 -0.002779",1.502250 seconds
output_linear.csv,6,3,2,0,0.256202,"39230.535156 38593.894531 5.169518 5.107855 0.001848 0.001749",1.359100 seconds
output_linear.csv,6,4,2,0,0.345082,"39681.546875 39650.554688 9.945125 9.762913 -0.004474 -0.005232",1.579055 seconds
output_linear.csv,6,5,2,0,0.349369,"25280.007812 25129.373047 9.981743 9.809361 0.008288 0.009906",1.492076 seconds
output_linear.csv,6,6,2,0,0.340429,"39694.046875 39786.617188 9.774179 9.973667 -0.003033 -0.003720",1.352470 seconds
output_linear.csv,6,7,2,0,0.315852,"39946.898438 39599.980469 9.706347 9.985527 -0.004494 -0.005559",1.579040 seconds
output_linear.csv,6,8,2,0,0.323154,"39532.015625 39547.085938 8.669100 9.432831 -0.002554 -0.003655",1.359850 seconds
output_linear.csv,6,9,2,0,0.327527,"24468.013672 24407.550781 9.906157 9.640770 0.008032 0.009367",1.383309 seconds
output_linear.csv,6,10,2,0,0.384723,"39480.085938 39814.734375 9.879990 9.975430 -0.002496 -0.002971",1.504419 seconds
output_linear.csv,8,1,2,0,0.667438,"39453.281250 37457.390625 9.996760 6.380936 -0.002122 0.009285 0.000084 0.000097",1.768105 seconds
output_linear.csv,8,2,2,0,0.600832,"39680.406250 37943.726562 9.853164 9.525406 -0.009279 -0.004944 0.000074 0.000086",1.751029 seconds
output_linear.csv,8,3,2,0,0.751685,"33046.773438 31631.447266 8.959957 9.979231 0.006379 0.007919 0.000057 0.000070",1.500567 seconds
output_linear.csv,8,4,2,0,0.620088,"39362.437500 37300.734375 9.869770 9.558044 -0.006384 -0.001749 0.000072 0.000084",1.689358 seconds
output_linear.csv,8,5,2,0,0.714210,"39340.429688 38498.492188 9.807775 5.852382 0.000244 0.009501 0.000080 0.000096",1.758056 seconds
output_linear.csv,8,6,2,0,0.588587,"39588.710938 37114.257812 9.576244 9.535337 -0.008541 -0.004168 0.000062 0.000071",1.526453 seconds
output_linear.csv,8,7,2,0,0.654036,"38545.265625 36668.378906 9.857172 9.809587 -0.008625 -0.008481 0.000074 0.000090",1.772906 seconds
output_linear.csv,8,8,2,0,0.652169,"38604.917969 38824.488281 9.862745 6.694390 -0.002576 0.006117 0.000058 0.000065",1.657684 seconds
output_linear.csv,8,9,2,0,0.686635,"39793.515625 37609.843750 6.567334 7.414495 -0.004303 -0.003730 0.000080 0.000097",1.716125 seconds
output_linear.csv,8,10,2,0,0.701192,"39929.593750 38151.613281 9.987047 5.336633 -0.005395 0.009868 0.000087 0.000093",1.660189 seconds
output_polynomial.csv,4,1,2,0,207.496780,"38075.445312 23752.007812 9.962145 5.103466",1.103067 seconds
output_polynomial.csv,4,2,2,0,206.355621,"38343.230469 22807.015625 9.734189 5.012631",1.274187 seconds
output_polynomial.csv,4,3,2,0,204.483276,"39494.378906 21585.484375 9.817945 5.101944",1.291532 seconds
output_polynomial.csv,4,4,2,0,211.790176,"39724.703125 25277.488281 9.967272 5.298690",1.088452 seconds
output_polynomial.csv,4,5,2,0,208.710770,"39409.984375 24012.097656 9.724298 5.103369",1.107584 seconds
output_polynomial.csv,4,6,2,0,210.075516,"39144.933594 20992.308594 9.234505 5.003075",1.110355 seconds
output_polynomial.csv,4,7,2,0,205.584503,"37862.242188 20102.113281 9.936213 5.156992",1.226299 seconds
output_polynomial.csv,4,8,2,0,206.657898,"39486.515625 22061.164062 9.964874 5.305873",1.106416 seconds
output_polynomial.csv,4,9,2,0,213.536102,"38978.117188 20260.363281 9.009619 5.022750",1.217832 seconds
output_polynomial.csv,4,10,2,0,205.875549,"39404.726562 22678.875000 9.911766 5.198406",1.210222 seconds
output_polynomial.csv,6,1,2,0,0.830400,"20805.398438 21364.890625 6.885074 7.119018 0.003680 -0.007888",1.528739 seconds
output_polynomial.csv,6,2,2,0,1.627867,"27744.753906 28622.888672 8.183369 7.999020 0.004295 -0.009396",1.418059 seconds
output_polynomial.csv,6,3,2,0,1.266732,"26431.078125 25933.628906 6.398690 9.290200 0.006496 -0.009785",1.514887 seconds
output_polynomial.csv,6,4,2,0,1.147191,"25304.628906 28493.941406 7.049917 5.516784 0.003922 -0.008564",1.514031 seconds
output_polynomial.csv,6,5,2,0,1.604104,"27405.140625 30462.585938 6.829564 7.591541 0.006533 -0.009581",1.390798 seconds
output_polynomial.csv,6,6,2,0,1.363326,"27426.283203 30667.486328 6.563220 7.585588 0.006163 -0.009774",1.408770 seconds
output_polynomial.csv,6,7,2,0,1.270448,"26004.777344 26836.691406 8.275339 6.840150 0.003062 -0.008588",1.530257 seconds
output_polynomial.csv,6,8,2,0,2.065516,"26230.332031 28797.718750 8.796826 7.916234 0.005347 -0.009345",1.406425 seconds
output_polynomial.csv,6,9,2,0,0.704869,"27692.921875 30328.957031 6.950104 6.133767 0.004286 -0.009021",1.380534 seconds
output_polynomial.csv,6,10,2,0,1.746149,"31558.048828 33565.316406 9.382903 5.793237 0.001749 -0.009111",1.536328 seconds
output_polynomial.csv,8,1,2,0,0.877949,"37971.148438 37328.140625 8.992536 9.133533 0.007763 0.008237 0.000008 -0.000020",1.574888 seconds
output_polynomial.csv,8,2,2,0,1.076368,"39730.250000 38903.328125 8.805283 6.791435 -0.008950 0.001559 0.000026 -0.000011",1.530334 seconds
output_polynomial.csv,8,3,2,0,0.952670,"38331.546875 37867.265625 8.769745 8.929823 0.007457 0.005221 0.000009 -0.000016",1.790979 seconds
output_polynomial.csv,8,4,2,0,0.326740,"39370.050781 38648.671875 9.089069 6.487891 -0.004157 0.005963 0.000019 -0.000016",1.685878 seconds
output_polynomial.csv,8,5,2,0,0.390183,"39236.238281 37652.250000 7.828012 6.572361 0.003554 0.009957 0.000012 -0.000020",1.908386 seconds
output_polynomial.csv,8,6,2,0,0.610299,"34214.273438 36013.390625 9.479689 5.858881 0.005827 0.005344 0.000005 -0.000014",1.584063 seconds
output_polynomial.csv,8,7,2,0,1.322402,"33298.792969 31042.507812 7.927845 7.378858 -0.009632 0.006520 0.000029 -0.000015",1.799928 seconds
output_polynomial.csv,8,8,2,0,2.629122,"35079.277344 33649.812500 6.329432 8.336495 -0.003468 0.006397 0.000021 -0.000018",1.901741 seconds
output_polynomial.csv,8,9,2,0,1.113848,"35675.515625 36490.968750 8.325092 9.140764 0.008892 -0.001408 0.000001 -0.000010",1.845901 seconds
output_polynomial.csv,8,10,2,0,0.996678,"35158.476562 36830.218750 8.242407 5.559780 -0.000566 0.008117 0.000017 -0.000017",1.553561 seconds
output_uniformly_accelerated.csv,4,1,2,0,0.330328,"39753.804688 37190.281250 5.631474 9.681216",1.146716 seconds
output_uniformly_accelerated.csv,4,2,2,0,0.309627,"39888.445312 37418.429688 5.133805 8.939252",1.237242 seconds
output_uniformly_accelerated.csv,4,3,2,0,0.334997,"39648.414062 36959.804688 5.783006 9.850552",1.133608 seconds
output_uniformly_accelerated.csv,4,4,2,0,0.337799,"39619.570312 37558.656250 5.544224 9.287560",1.365184 seconds
output_uniformly_accelerated.csv,4,5,2,0,0.344117,"39927.375000 36825.933594 5.506578 9.707859",1.148766 seconds
output_uniformly_accelerated.csv,4,6,2,0,0.321943,"39942.109375 37475.007812 5.507104 9.420135",1.217126 seconds
output_uniformly_accelerated.csv,4,7,2,0,0.327655,"39959.335938 37605.585938 5.586760 9.472870",1.404431 seconds
output_uniformly_accelerated.csv,4,8,2,0,0.324509,"39407.335938 36954.828125 5.309835 8.870725",1.359309 seconds
output_uniformly_accelerated.csv,4,9,2,0,0.327510,"39400.722656 36732.007812 5.596907 9.536474",1.385547 seconds
output_uniformly_accelerated.csv,4,10,2,0,0.325046,"39900.417969 38098.968750 5.064235 8.463676",1.292176 seconds
output_uniformly_accelerated.csv,6,1,2,0,0.299834,"36762.609375 35397.367188 9.906496 9.831929 0.003093 0.008497",1.596562 seconds
output_uniformly_accelerated.csv,6,2,2,0,0.311298,"38441.539062 36829.515625 9.461489 9.898881 0.002537 0.007387",1.662106 seconds
output_uniformly_accelerated.csv,6,3,2,0,0.268305,"36856.890625 36807.273438 7.218898 5.322732 0.002208 0.007274",1.668830 seconds
output_uniformly_accelerated.csv,6,4,2,0,0.324419,"39165.382812 38444.437500 9.491251 9.308653 0.002539 0.007670",1.736205 seconds
output_uniformly_accelerated.csv,6,5,2,0,0.306244,"38382.703125 37485.671875 9.115911 9.424829 0.002241 0.006632",1.544383 seconds
output_uniformly_accelerated.csv,6,6,2,0,0.312534,"39076.468750 38077.687500 9.439617 9.839556 0.001960 0.006433",1.657245 seconds
output_uniformly_accelerated.csv,6,7,2,0,0.328951,"39016.183594 37543.031250 9.975000 9.924831 0.003230 0.009044",1.694743 seconds
output_uniformly_accelerated.csv,6,8,2,0,0.314236,"38349.804688 38056.265625 7.224841 6.323252 0.003282 0.008601",1.606175 seconds
output_uniformly_accelerated.csv,6,9,2,0,0.321702,"39151.125000 38372.191406 6.506152 8.781120 -0.002411 -0.002824",1.649395 seconds
output_uniformly_accelerated.csv,6,10,2,0,0.304951,"33262.515625 32351.589844 9.844973 9.746499 0.003901 0.009132",1.656395 seconds
output_uniformly_accelerated.csv,8,1,2,0,0.446668,"38784.929688 38393.789062 8.390312 5.522496 0.008492 0.006729 0.000055 0.000097",1.802183 seconds
output_uniformly_accelerated.csv,8,2,2,0,0.447007,"39220.445312 38914.117188 9.196878 5.241479 0.007778 0.007986 0.000050 0.000088",1.810392 seconds
output_uniformly_accelerated.csv,8,3,2,0,0.461638,"39886.882812 39353.640625 9.817537 6.729522 0.008371 0.008152 0.000053 0.000094",1.890975 seconds
output_uniformly_accelerated.csv,8,4,2,0,0.448691,"39664.820312 38898.140625 9.870883 6.656486 0.007581 0.008041 0.000050 0.000087",1.879696 seconds
output_uniformly_accelerated.csv,8,5,2,0,0.496795,"39677.968750 39814.945312 6.667042 5.483933 0.009354 0.003009 0.000053 0.000097",1.607117 seconds
output_uniformly_accelerated.csv,8,6,2,0,0.467662,"37115.281250 36949.472656 9.515480 7.032100 0.008256 0.006325 0.000055 0.000096",1.562178 seconds
output_uniformly_accelerated.csv,8,7,2,0,0.485399,"39518.460938 38315.601562 8.869311 9.863768 0.004601 -0.002088 0.000054 0.000095",1.819982 seconds
output_uniformly_accelerated.csv,8,8,2,0,0.460559,"37056.765625 36442.312500 9.543045 9.564488 0.001704 -0.005045 0.000054 0.000094",1.680038 seconds
output_uniformly_accelerated.csv,8,9,2,0,0.422187,"38197.261719 38595.132812 9.453836 5.740577 0.005767 0.009882 0.000022 0.000040",1.751834 seconds
output_uniformly_accelerated.csv,8,10,2,0,0.451812,"39668.664062 38136.175781 9.794866 7.723536 0.005601 0.009458 0.000036 0.000059",1.576873 seconds
real_world_example.csv,4,1,9.846666667,1,0.402624,"-410061.437500 4855829.500000 7.690433 0.153199",1.130393 seconds
real_world_example.csv,4,2,9.846666667,1,2.510370,"-425737.250000 4811962.000000 8.662289 3.245626",1.114819 seconds
real_world_example.csv,4,3,9.846666667,1,0.855507,"-426836.843750 4828013.500000 8.877026 1.740793",1.214738 seconds
real_world_example.csv,4,4,9.846666667,1,1.119530,"-405255.375000 4859029.000000 8.387328 0.455694",1.228508 seconds
real_world_example.csv,4,5,9.846666667,1,3.440117,"-414989.187500 4859145.000000 9.917085 2.201736",1.104207 seconds
real_world_example.csv,4,6,9.846666667,1,1.120228,"-420817.625000 4843902.000000 8.031954 0.651706",1.130333 seconds
real_world_example.csv,4,7,9.846666667,1,2.806780,"-386781.312500 4895727.000000 9.796225 1.050289",1.219736 seconds
real_world_example.csv,4,8,9.846666667,1,5.344505,"-410164.281250 4872495.000000 8.673393 0.530009",1.213967 seconds
real_world_example.csv,4,9,9.846666667,1,2.375248,"-415191.093750 4825498.500000 6.821692 1.058008",1.217595 seconds
real_world_example.csv,4,10,9.846666667,1,2.465353,"-428928.687500 4811545.000000 7.902794 1.853456",1.288461 seconds
real_world_example.csv,6,1,9.846666667,1,1.099808,"-423846.375000 4816667.000000 7.356381 8.637480 0.000937 -0.000225",1.605908 seconds
real_world_example.csv,6,2,9.846666667,1,0.729598,"-429058.187500 4803507.000000 8.938614 9.446567 0.000764 -0.000128",1.372513 seconds
real_world_example.csv,6,3,9.846666667,1,0.969699,"-444371.531250 4764894.000000 5.785864 5.731629 0.000221 -0.000221",1.384174 seconds
real_world_example.csv,6,4,9.846666667,1,0.981812,"-431806.187500 4794360.000000 8.987532 8.354660 0.000181 -0.000473",1.629689 seconds
real_world_example.csv,6,5,9.846666667,1,0.963079,"-420781.812500 4837560.000000 8.696816 7.369280 0.000908 -0.000089",1.518875 seconds
real_world_example.csv,6,6,9.846666667,1,1.351426,"-407401.250000 4854811.000000 9.727905 7.373338 0.000661 -0.000329",1.528359 seconds
real_world_example.csv,6,7,9.846666667,1,1.435312,"-443110.437500 4787708.000000 9.811633 7.502719 0.000408 -0.000031",1.376351 seconds
real_world_example.csv,6,8,9.846666667,1,1.396772,"-406866.593750 4853653.000000 8.714853 7.995220 0.000957 -0.000289",1.622936 seconds
real_world_example.csv,6,9,9.846666667,1,1.216831,"-371756.625000 4947202.000000 9.527267 1.509646 0.000503 -0.000191",1.522787 seconds
real_world_example.csv,6,10,9.846666667,1,0.737037,"-415827.531250 4852360.000000 9.064823 6.043268 0.000867 -0.000033",1.408657 seconds
real_world_example.csv,8,1,9.846666667,1,5.258657,"-359698.312500 4970910.000000 7.524522 1.798988 0.000993 -0.000677 0.000003 0.000002",1.912415 seconds
real_world_example.csv,8,2,9.846666667,1,5.499245,"-418383.562500 4844609.500000 7.109665 7.520733 0.000648 -0.000308 0.000003 0.000002",1.767309 seconds
real_world_example.csv,8,3,9.846666667,1,3.003376,"-312876.218750 4995316.000000 0.271334 9.345659 0.000490 -0.000198 0.000004 0.000003",1.599156 seconds
real_world_example.csv,8,4,9.846666667,1,3.243836,"-376546.718750 4984475.000000 9.312982 3.125979 0.000343 -0.000468 0.000001 0.000001",1.723992 seconds
real_world_example.csv,8,5,9.846666667,1,3.426872,"-364152.687500 4978963.000000 1.545243 1.286826 0.000283 -0.000533 0.000003 0.000002",1.866436 seconds
real_world_example.csv,8,6,9.846666667,1,4.136435,"-381239.562500 4974893.500000 7.918300 5.506415 0.000269 -0.000073 0.000004 0.000003",1.576128 seconds
real_world_example.csv,8,7,9.846666667,1,7.790889,"-377372.593750 4996084.000000 0.512904 7.815752 0.000701 -0.000557 0.000008 0.000006",1.737585 seconds
real_world_example.csv,8,8,9.846666667,1,11.529419,"-368531.093750 4944946.500000 0.496113 1.872394 0.000653 -0.000583 0.000010 0.000008",1.584856 seconds
real_world_example.csv,8,9,9.846666667,1,4.592346,"-388830.656250 4934060.000000 5.007026 0.082927 0.000304 -0.000559 0.000003 0.000003",1.625414 seconds
real_world_example.csv,8,10,9.846666667,1,3.332825,"-376569.937500 4895321.500000 7.532165 8.289090 0.000304 -0.000892 0.000001 0.000001",1.732523 seconds
